id,name,dimensions,year,description
1,Allongé,32 in wide × 20 in high,1972,Orange background; naked woman lying on her side.
2,Three Birds,24 in wide × 32 in high,1970,"Blue, purple, and prune-colored geometric painting of three birds flying, with one bird on the bottom."
3,Couple Lying Down,24 in wide × 19 in high,1963,Rust-based colors; very abstract people lying down.
4,Jewish Wedding,25 in wide × 21 in high,1981,Figurative Jewish wedding party.
5,Green Forest,24 in wide × 20 in high,1969,Figurative/abstract green forest.
6,Brown Square Collage,24 in wide × 30 in high,1973,"Abstract collage with brown squares, some writing, and some pictures."
7,The Peace Prize,28 in wide × 24 in high,1971,Black-and-white dove over people.
8,Bird on the Sea,24 in wide × 19 in high,1977,Blue-based abstract birds on the ocean.
9,Homage to Roy Kayuka 1,24 in wide × 24 in high,1972,Ultra-abstract geometric shapes; two pieces.
10,Homage to Roy Kayuka 2,24 in wide × 24 in high,1972,Oval geometric shapes; two pieces.
11,Wedding Procession,24 in wide × 18 in high,1981,Wedding party on horseback procession.
12,Black Splotches,23 in wide × 38 in high,1963,Very abstract black-and-white blotches of paint on wood backing; historical significance from an exhibit in Paris.
13,Babel,21 in wide × 29 in high,2003,Black-and-white print representing Babel.
14,Babel,24 in wide × 36 in high,2003,Original black ink on white depiction of Babel.
15,Phase 1 / Phase 2,19 in wide × 26 in high,2001,Set of two collages with astronomical theme.
16,La Fuite,26 in wide × 32 in high,2010,Graphical depiction of an escape; businessman escaping.
17,Quartet,26 in wide × 32 in high,2011,Graphical/geometric representation of a string quartet.
18,Mr. President,21 in wide × 29 in high,2015,Black on white man in a suit; dot technique.
19,Stingray,28 in wide × 21 in high,2016,Print of a stingray.
20,What a Wonderful World,40 in wide × 30 in high,1991,Colourful oil painting with various scenes indicating the joy of life.
21,Stamp Circle,21 in wide × 29 in high,2020,Blue-based geometric circle with collage of hundreds of stamps. Paper inside frame hides part of the bottom; print is rectangular.
22,Newspaper Circles,21 in wide × 29 in high,2020,Concentric-circle multimedia collage of newspaper clippings.
23,Stamp Circles,21 in wide × 29 in high,2020,Concentric circles and geometric shapes collage with stamps.
24,Stamp Squares,21 in wide × 29 in high,2023,Abstract squares and lines stamp collage.
25,Leaf on Animals,21 in wide × 29 in high,2020,Gold-tone leaf on animal drawings in a circle.
26,Aerial Town,30 in wide × 40 in high,2021,Black and blue shades; abstract aerial view of a town and river.
27,Tree of Life,29 in wide × 21 in high,2021,Colorful tree of life.
28,Golem of Prague,21 in wide × 29 in high,2023,Colorful golem.
29,Protest,21 in wide × 29 in high,2024,Black on white multitude of people protesting.
30,Aggressor Aggressor,21 in wide × 29 in high,2024,Black-and-white multitude of people fighting.
31,The Day the Earth Chased Out Humanity,29 in wide × 21 in high,2024,Blue Earth with humans falling off it.
32,Wall of Ice,21 in wide × 29 in high,,Wall of ice; unfinished work.
33,Antarctica,36 in wide × 30 in high,,Glacier / Antarctica scene; unfinished work.
